datePulled,contract,type,expiry,strike,bid,ask,volume,oi,lastTrd,impVol
2020-08-18,SPY200819C00245000,CALL,2020-08-19,245.00,93.55,93.79,10,10,2020-07-24 9:46AM EDT,163.28%
2020-08-18,SPY200819C00250000,CALL,2020-08-19,250.00,88.56,88.81,2,291,2020-08-17 9:30AM EDT,160.94%
2020-08-18,SPY200819C00255000,CALL,2020-08-19,255.00,83.55,83.73,-,1,2020-08-17 12:02AM EDT,0.00%
2020-08-18,SPY200819C00270000,CALL,2020-08-19,270.00,68.62,68.81,-,-,2020-08-17 12:02AM EDT,123.83%
2020-08-18,SPY200819C00275000,CALL,2020-08-19,275.00,63.65,63.77,40,21,2020-08-12 10:01AM EDT,101.56%
2020-08-18,SPY200819C00280000,CALL,2020-08-19,280.00,58.65,58.76,1,1,2020-08-04 2:00PM EDT,87.50%
2020-08-18,SPY200819C00285000,CALL,2020-08-19,285.00,52.09,52.19,10,10,2020-07-15 9:41AM EDT,0.00%
2020-08-18,SPY200819C00289000,CALL,2020-08-19,289.00,49.67,49.73,-,10,2020-07-29 3:10PM EDT,0.00%
2020-08-18,SPY200819C00290000,CALL,2020-08-19,290.00,48.65,48.75,1,1,2020-08-10 9:37AM EDT,50.00%
2020-08-18,SPY200819C00291000,CALL,2020-08-19,291.00,47.65,47.77,1,3,2020-08-18 10:07AM EDT,76.56%
2020-08-18,SPY200819C00292000,CALL,2020-08-19,292.00,46.65,46.73,2,1,2020-08-12 10:30AM EDT,0.00%
2020-08-18,SPY200819C00294000,CALL,2020-08-19,294.00,44.65,44.74,1,3,2020-08-10 9:37AM EDT,0.00%
2020-08-18,SPY200819C00295000,CALL,2020-08-19,295.00,43.65,43.72,10,11,2020-08-07 2:34PM EDT,0.00%
2020-08-18,SPY200819C00296000,CALL,2020-08-19,296.00,42.65,42.74,-,14,2020-07-23 2:07PM EDT,0.00%
2020-08-18,SPY200819C00297000,CALL,2020-08-19,297.00,41.65,41.72,16,17,2020-07-31 9:52AM EDT,0.00%
2020-08-18,SPY200819C00300000,CALL,2020-08-19,300.00,38.65,38.77,10,23,2020-08-17 2:35PM EDT,62.50%
2020-08-18,SPY200819C00302000,CALL,2020-08-19,302.00,36.66,36.73,2,31,2020-08-17 2:59PM EDT,0.00%
2020-08-18,SPY200819C00303000,CALL,2020-08-19,303.00,35.66,35.73,2,23,2020-08-13 11:02AM EDT,0.00%
2020-08-18,SPY200819C00304000,CALL,2020-08-19,304.00,34.66,34.74,2,28,2020-08-10 3:37PM EDT,0.00%
2020-08-18,SPY200819C00305000,CALL,2020-08-19,305.00,33.66,33.73,1,27,2020-08-06 4:08PM EDT,0.00%
2020-08-18,SPY200819C00306000,CALL,2020-08-19,306.00,32.65,32.72,11,60,2020-08-17 11:56AM EDT,0.00%
2020-08-18,SPY200819C00307000,CALL,2020-08-19,307.00,31.66,31.74,2,7,2020-08-17 10:56AM EDT,0.00%
2020-08-18,SPY200819C00308000,CALL,2020-08-19,308.00,30.65,30.72,1,1,2020-08-06 11:39AM EDT,0.00%
2020-08-18,SPY200819C00309000,CALL,2020-08-19,309.00,29.66,29.72,100,114,2020-08-05 1:16PM EDT,0.00%
2020-08-18,SPY200819C00310000,CALL,2020-08-19,310.00,28.66,28.74,2,85,2020-08-18 9:53AM EDT,0.00%
2020-08-18,SPY200819C00311000,CALL,2020-08-19,311.00,27.61,27.79,3,32,2020-08-17 2:59PM EDT,49.61%
2020-08-18,SPY200819C00312000,CALL,2020-08-19,312.00,26.66,26.74,2,104,2020-08-05 3:54PM EDT,0.00%
2020-08-18,SPY200819C00313000,CALL,2020-08-19,313.00,25.66,25.74,10,350,2020-08-18 9:38AM EDT,0.00%
2020-08-18,SPY200819C00314000,CALL,2020-08-19,314.00,24.66,24.74,8,767,2020-08-18 9:43AM EDT,0.00%
2020-08-18,SPY200819C00315000,CALL,2020-08-19,315.00,23.66,23.76,1,247,2020-08-17 3:54PM EDT,36.72%
2020-08-18,SPY200819C00316000,CALL,2020-08-19,316.00,22.66,22.80,9,432,2020-08-18 10:28AM EDT,42.58%
2020-08-18,SPY200819C00317000,CALL,2020-08-19,317.00,21.66,21.74,7,474,2020-08-18 11:25AM EDT,0.00%
2020-08-18,SPY200819C00318000,CALL,2020-08-19,318.00,20.66,20.81,5,469,2020-08-17 12:23PM EDT,40.23%
